Name	Platform No.	Track No.
Bierzwnik	1	1
Bierzwnik	2	2
Bierzwnik	2	4
Biesal	1	1
Biesal	2	4
Biesal	2	2
Biesowice	1	1
Biłgoraj	1	2
Biłgoraj	1	1
Biniew	1	1
Biniew	2	2
Bińcze	1	1
Bińcze	1	2
Biskupice	1	1
Biskupice	2	2
Biskupice koło Kluczborka	1	1
Biskupice koło Kluczborka	2	2
Biskupice Oławskie	1	1
Biskupice Oławskie	2	2
Biskupice Wielkopolskie	1	2
Biskupice Wielkopolskie	2	1
Biskupiec Pomorski	1	2
Biskupiec Pomorski	2	3
Biskupiec Pomorski	2	1
Biskupnica	1	1
Biskupnica	2	2
Blachownia	1	2
Blachownia	2	1
Blizna	1	1
Bliżyn	1	1
Błaszki	1	4
Błaszki	1	2
Błaszki	2	1
Błaszki	2	2
Błażkowa	1	1
Błądzim	2	1
Błonie	1	3
Błonie	1	1
Błonie	2	2
Błonie	2	4
Błonie Rokitno	1	1
Błonie Rokitno	2	2
Błotnica	2	1
Błotnica Strzelecka	1	1
Błotnica Strzelecka	2	2
Bobowa	1	3
Bobowa	1	1
Bobowa-Miasto	1	1
Bobowicko	1	1
Bobrowniki	1	1
Bobrowniki	2	2
Bobrowo Pomorskie	1	1
Bobrowo Pomorskie	2	2
Bobrówka	1	1
Bobrówka	1	3
Bobrówka	2	1
Bobrówka	2	2
Bobry	1	1
Bobry	2	2
Bochnia	1	3
Bochnia	2	1
Bochnia	3	4
Bochnia	3	2
Boczów	1	2
Boczów	1	4
Boczów	2	3
Boczów	2	1
Bodzechów	1	2
Bodzechów	1	1
Bogaczewo	1	3
Bogaczewo	2	2
Bogaczewo	2	1
Bogaczów	1	1
Bogdaniec	1	2
Bogdaniec	2	1
Bogdanowo	1	1
Bogdanowo	2	2
Bogoniowice Ciężkowice	1	3
Bogoniowice Ciężkowice	1	1
Boguchwała	1	1
Boguchwała	1	5
Boguchwała Dolna	1	1
Bogumiłowice	1	3
Bogumiłowice	2	4
Boguszewo	1	1
Boguszów-Gorce	1	1
Boguszów-Gorce	2	2
Boguszów-Gorce Dzikowiec	1	1
Boguszów-Gorce Wschód	1	2
Boguszów-Gorce Wschód	2	1
Boguszów-Gorce Wschód	3	1
Boguszów-Gorce Zachód	1	2
Boguszów-Gorce Zachód	2	1
Bojanowo	1	1
Bojanowo	2	2
Bojanowo	2	4
Bojary	1	1
Bojary	2	2
Boksycka	1	1
Boksycka	2	2
Bolechowo	1	1
Bolechowo	1	3
Bolesławice Świdnickie	1	1
Bolesławice Świdnickie	2	2
Bolesławiec	1	2
Bolesławiec	2	1
Bolesławiec	2	3
Boleszewo	1	1
Boleszkowice	1	1
Boleszkowice	2	2
Boreczek	1	2
Boreczek	2	1
Borki-Kosy	1	1
Borki-Kosy	2	2
Borkowice	1	1
Boronów	1	3
Boronów	2	2
Boronów	2	1
Borowa Oleśnicka	1	1
Borowa Oleśnicka	2	2
Borowiki	1	1
Borowiki	2	2
Borowina	1	1
Borowina	2	2
Borsukówka	1	1
Borszewice	1	1
Borszewice	2	2
Borucice	1	2
Borucice	2	1
Boszkowo	1	1
Boża Wola	1	1
Boża Wola	2	2
Bożacin	1	1
Bożepole Wielkie	2	1
Bożepole Wielkie	2	3
Brachlewo	1	1
Braniewo	1	511
Braniewo	2	511
Braniewo	2	1
Braniewo	3	3
Braniewo	3	5
Bratków	1	1
Bratków	1	2
Bratoszewice	1	1
Brodnica	1	1
Brodnica	2	5
Brodnica	2	3
Brody Iłżeckie	1	1
Brody Iłżeckie	2	2
Brody Warszawskie	1	1
Brody Warszawskie	2	2
Brokęcino	1	1
Bronów	1	1
Bronów	2	2
Brusy	1	1
Brusy	1	3
Brwinów	1	3
Brwinów	1	4
Brzask	1	1
Brzeg	1	1p
Brzeg	1	2p
Brzeg	2	6p
Brzeg	2	8p
Brzeg Dolny	1	4
Brzeg Dolny	2	1
Brzeg Dolny	2	2
Brzeg Głogowski	1	1
Brzeg Głogowski	2	2
Brzesko Okocim	1	1
Brzesko Okocim	1	5
Brzesko Okocim	2	2
Brzesko Okocim	2	4
Brzeszcze	1	1
Brzeszcze	2	2
Brzeszcze Jawiszowice	1	1
Brzeszcze Jawiszowice	1	2
Brzezie	1	1
Brzezie	1	2
Brzezinka Średzka	1	2
Brzezinka Średzka	2	1
Brzeziny	1	1
Brzeziny	2	2
Brzeźnica	1	1
Brzeźnica	1	2
Brzeźnica Bychawska	1	1
Brzeźno	1	2
Brzeźno	1	1
Brzeźno Człuchowskie	1	1
Brzeźno Człuchowskie	2	2
Brzoza Bydgoska	1	1
Brzoza Bydgoska	1	2
Brzoza Toruńska	1	1
Brzoza Toruńska	2	2
Brzozowica	1	1
Brzozowica	2	2
Brzozowiec Gorzowski	1	1
Brzóstowa	1	1
Brzóstowa	2	2
Brzustów	1	1
Buchałów	1	1
Budachów	1	1
Budachów	2	2
Budki Nowe	1	1
Budki Nowe	2	2
Budy Głogowskie	1	1
Budziszowice	1	1
Budzyń	1	1
Budzyń	1	2
Bujaki	1	1
Buk	1	3
Buk	1	1
Buk	2	4
Buk	2	2
Bukowa	1	1
Bukowa	2	2
Bukowice Trzebnickie	1	1
Bukowice Trzebnickie	2	1
Bukowiec Międzyrzecki	1	1
Bukowina Sycowska	1	1
Bukowina Sycowska	2	3
Bukowno	1	2
Bukowno	1	1
Bukowno Przymiarki	1	1
Bukowno Przymiarki	2	2
Bukowo	1	1
Bukowo Człuchowskie	1	1
Bukwałd	1	1
Bulowice	1	1
Burkat	1	1
Burkat	2	2
Burkatów	1	1
Bursztynowo	1	1
Busko-Zdrój	1	102
Byczyna Kluczborska	1	1
Byczyna Kluczborska	2	2
Bydgoszcz Bielawy	1	1
Bydgoszcz Bielawy	2	2
Bydgoszcz Błonie	1	1
Bydgoszcz Błonie	2	2
Bydgoszcz Brdyujście	1	1
Bydgoszcz Fordon	1	1
Bydgoszcz Główna	1	6
Bydgoszcz Główna	2	4
Bydgoszcz Główna	2	2
Bydgoszcz Główna	3	1
Bydgoszcz Główna	3a	5
Bydgoszcz Główna	4	11
Bydgoszcz Główna	4a	9
Bydgoszcz Główna	5	12
Bydgoszcz Główna	5	21
Bydgoszcz Leśna	1	2
Bydgoszcz Leśna	2	1
Bydgoszcz Łęgnowo	1	2
Bydgoszcz Łęgnowo	2	2
Bydgoszcz Łęgnowo	2	4
Bydgoszcz Osowa Góra	1	1
Bydgoszcz Osowa Góra	2	2
Bydgoszcz Politechnika	1	1
Bydgoszcz Wschód	1	201
Bydgoszcz Wschód	2	202
Bydgoszcz Wschód	2	204
Bydgoszcz Zachód	1	1
Bydgoszcz Zachód	2	2
Bystra Podhalańska	1	1
Bystrzyca Górna	1	1
Bystrzyca Kłodzka	1	1
Bystrzyca Kłodzka Przedmieście	1	2
Bystrzyca Kłodzka Przedmieście	2	1
Bystrzyca koło Lublina	2	3
Bystrzyca koło Lublina	2	1
Bytnica	1	1
Bytnica	2	2
Bytom	1	3
Bytom	1	1b
Bytom	2	2c
Bytom	2	4a
Bytom	3	6
Bytom	3	8b
Bytom Karb	1	1a
Bytom Karb	2	2
Bytom Odrzański	1	1
Bytom Odrzański	1	2
Bytom Stroszek	1	1
Bytom Stroszek	2	2
Bytonia	1	1
Bytonia	2	2
Bzowiec	1	1
Cegłów	1	1
Cegłów	2	2
Cekcyn	2	1
Celestynów	1	2a
Celestynów	2	1a
Celestynów	2	12,4a
Cerkiewnik	1	1
Chabówka	2	1
Chabówka	2	3
Chabówka Stadion	1	1
Chałupki	1	4,4b
Chałupki	1	2
Chałupki	2	2
Chałupki	2	1
Chałupy	1	1
Charnowo Słupskie	1	1
Charnowo Słupskie	1	3
Charsznica	1	4
Charsznica	2	4
Charsznica	2	2
Charsznica	3	2
Charsznica	3	1
Chechło	1	1
Chechło	2	2
Chełm	1	3
Chełm	1	2S
Chełm	2	2
Chełm	2	1
Chełm	3	8
Chełm	3	4
Chełm Cementownia	1	2b
Chełm Miasto	1	2
Chełm Miasto	1	1
Chełm Śląski	1	1
Chełm Śląski	2	2
Chełmce	1	4
Chełmce	2	1
Chełmce	2	2
Chełmek	1	101
Chełmek	2	102
Chełmek Wołowski	1	1
Chełmek Wołowski	2	2
Chełmża	2	1
Chełmża	2	5
Chełmża	3	4
Chełmża	3	2
Chludowo	1	1
Chludowo	2	2
Chmielniki Bydgoskie	1	1
Chmielniki Bydgoskie	2	2
Chmielów	1	2
Chmielów Zagumnie	1	1
Chocicza	1	1
Chocicza	2	2
Chociszew	1	2
Chociszew	2	3
Chociszewo Rogoziniec	1	1
Chociw Łaski	1	1
Chociw Łaski	1	2
Chociwel	1	2
Chociwel	2	1
Chocznia	1	1
Chocznia Górna	1	1
Chodzież	1	5
Chodzież	2	1
Chodzież	2	3
Chojna	1	2
Chojna	2	1
Chojna	2	5
Chojnice	1	1
Chojnice	1	3
Chojnice	2	2
Chojnice	3	12
Chojnice	4	15
Chojnice	4	11
Chojnice	5	17
Chojnik	1	1
Chojnów	1	2
Chojnów	1	4
Chojnów	2	3
Chojnów	2	1
Chomranice	1	1
Chorzele	1	1
Chorzele	1	3
Chorzelów	1	1
Chorzelów Południowy	1	1
Chorzew Siemkowice	1	1
Chorzew Siemkowice	1	5
Chorzew Siemkowice	2	2
Chorzew Siemkowice	2	4
Chorzów Batory	1	2
Chorzów Batory	1	1
Chorzów Batory	2	4
Chorzów Batory	2	3
Chorzów Miasto	1	2b
Chorzów Miasto	1	1b
Chorzów Stary	1	1
Chorzów Stary	1	2c
Chorzów Uniwersytet	1	1a
Chorzów Uniwersytet	1	2a
Choszczno	1	1
Choszczno	2	2
Choszczno	2	6
Chotomów	1	3
Chotomów	2	2
Chotyłów	1	2a
Chotyłów	2	1
Chronów	1	1
Chronów	2	2
Chrosna	1	1
Chrosna	2	2
Chrośnica	1	1
Chrośnica	2	2
Chróstnik	1	1
Chróścice	1	2
Chróścice	2	1
Chróścina Nyska	1	1
Chróścina Opolska	1	2
Chróścina Opolska	2	1
Chrusty Nowe	1	1
Chrusty Nowe	2	2
Chruszczobród	1	2
Chruszczobród	1	1
Chruszczobród	2	4
Chrzanów	1	4
Chrzanów	2	1
Chrzanów	2	2
Chrzanów Śródmieście	1	2
Chrzanów Śródmieście	2	1
Chrząstawa Mała	1	1
Chrząstowice	1	1
Chrząstowice	2	2
Chrząstowice Olkuskie	1	1
Chrząstowice Olkuskie	2	2
Chrzęsne	1	1
Chrzęsne	2	2
Chwalibogowo	1	2
Chwalibogowo	2	1
Chybie	1	2
Chybie	1	1
Chybie	2	9
Chybie	2	7
Chybie Mnich	1	1
Chynów	1	1
Chynów	2	2
Chynów	2	4
Chytra	1	1
Ciasna	1	1
Ciasna	2	2
Ciechanowice	1	1
Ciechanowice	2	2
Ciechanów	1	1
Ciechanów	1	3a
Ciechanów	1	3b
Ciechanów	2	4
Ciechanów	2	2
Ciechanów Przemysłowy	1	1
Ciechanów Przemysłowy	2	2
Ciechocinek	1	1
Ciechocinek	2	1
Ciechocinek	2	2
Ciecholub	1	1
Ciecierzyn	1	1
Cieksyn	1	1
Cienin	1	4A
Cienin	1	2
Cienin	2	1
Cienin	2	3
Cienin Kościelny	1	1
Cienin Kościelny	2	2
Cieplewo	1	3
Cieplewo	2	2
Cierpice	1	1
Cierpice	2	2
Cierpice	2	4
Cierpice Kąkol	1	1
Cierpice Kąkol	2	2
Cierpigórz	1	1
Cierpigórz	2	2
Cieszków	1	1
Cieszyn	1	3
Cieszyn	2	1
Cieszyn	2	2
Cieszyn Marklowice	1	2
Cieszyn Marklowice	2	1
Cieszyn Marklowice	2	3
Cieszyn Uniwersytet	1	1
Cieszyno Łobeskie	1	1
Cieszyno Łobeskie	2	2
Cięcina	1	1
Cięcina Dolna	1	1
Cikowice	1	1
Cikowice	2	2
Cisie	1	1
Cisie	2	2
Cisiec	1	1
Cmolas	1	1
Cybowo	1	1
Cygany	1	1
Cykarzew Północny	1	1
Czachówek Górny	1	1a
Czachówek Górny	2	2a
Czachówek Południowy	1	1c
Czachówek Południowy	1	3a
Czachówek Południowy	2	2d
Czachówek Południowy	2	4b
Czachówek Wschodni	1	1
Czachówek Wschodni	1	2
Czaplinek	1	1
Czaplinek	1	2
Czarlin	1	1
Czarlin	2	2
Czarna Białostocka	2	2
Czarna Białostocka	2	1
Czarna Tarnowska	1	1
Czarna Tarnowska	2	2
Czarna Woda	1	2
Czarna Woda	2	1
Czarnca	1	1
Czarnca	2	2
Czarne	1	1
Czarne	2	2
Czarne Małe	1	1
Czarne Małe	2	2
Czarniecka Góra	1	1
Czarnobór	1	1
Czarnowęsy Pomorskie	1	3
Czarnowęsy Pomorskie	2	1
Czarny Blok	1	2
Czarny Blok	2	2
Czarny Blok	2	1
Czastary	1	3
Czastary	2	1
Czastary	2	3
Czaszyn	1	1
Czechowice-Dziedzice	1	1
Czechowice-Dziedzice	1	2
Czechowice-Dziedzice	2	7
Czechowice-Dziedzice	2	5
Czechowice-Dziedzice Południowe	1	1
Czechowice-Dziedzice Południowe	1	2
Czechowice-Dziedzice Przystanek	1	1
Czechowice-Dziedzice Przystanek	1	2
Czechowizna	1	1
Czekanów	1	2
Czekanów	1	1
Czeluścin	1	2
Czeluścin	2	1
Czempiń	1	3
Czempiń	1	1
Czempiń	2	4
Czempiń	2	2
Czepino	1	1
Czepino	2	2
Czeremcha	1	3
Czeremcha	2	2
Czeremcha	2	1
Czermno	1	1
Czerna	1	2
Czerna	2	1
Czerna Mała	1	1
Czerna Mała	2	2
Czernica Wrocławska	1	1
Czernica Wrocławska	1	2p
Czerniejewo	1	2
Czerniejewo	2	1
Czerniewice	1	3
Czerniewice	2	1
Czerniewice	2	2
Czernikowo	1	3
Czernikowo	2	3
Czernikowo	2	1
Czersk	1	6
Czersk	2	4
Czersk	3	1
Czersk	3	2
Czersk Świecki	1	1
Czeruchy	1	1
Czeruchy	2	2
Czerwieńsk	1	2
Czerwieńsk	2	1
Czerwieńsk	3	4
Czerwieńsk	4	6
Czerwionka	1	1
Czerwionka	2	3
Czerwionka	2	1
Czerwionka Dębieńsko	1	1b
Czerwonak	1	3
Czerwonak	2	1
Czerwonak Osiedle	1	1
Czerwonka	1	3
Czerwonka	1	5
Czerwonka	2	2
Czerwonka	2	1
Czeska Wieś	1	1
Czesławice	1	1
Czesławice	2	2
Częstochowa	1	2,2A
Częstochowa	1a	6
Częstochowa	1a	4
Częstochowa	2	5,5A
Częstochowa	2	3,3A
Częstochowa	3	15
Częstochowa	3	11,11A
Częstochowa	4	19
Częstochowa Aniołów	1	1
Częstochowa Aniołów	2	2
Częstochowa Gnaszyn	1	1
Częstochowa Gnaszyn	1	2
Częstochowa Raków	1	1
Częstochowa Raków	1	85
Częstochowa Raków	2	2
Częstochowa Raków	2	6
Częstochowa Stradom	1	5
Częstochowa Stradom	2	1
Częstochowa Stradom	2	2
Człuchów	1	5
Człuchów	2	1
Człuchów	2	2
Czudec	1	2
Czudec	1	1
Czuprynowo	1	1
Czyżew	1	1a
Czyżew	2	2a
Czyżew	2	4a
Czyżowice	1	1
Ćmielów	1	2
Ćmielów	1	1
Dalanówek	1	1
Dalekie	1	1
Daleszewo	1	1
Daleszewo	2	2
Dalęcino	1	1
Dalęcino	2	1
Dalęcino	2	2
Damnica	1	1
Damnica	2	4
Daniszyn	1	1
Daniszyn	2	2
Dankowice	1	1
Dankowice	2	2
Darłowo	1	1
Daszewo	1	1
Dąbie koło Dębicy	1	1
Dąbie nad Nerem	1	4
Dąbie nad Nerem	2	1
Dąbie nad Nerem	2	2
Dąbkowizna	1	1
Dąbroszyn	1	1
Dąbroszyn	2	2
Dąbrowa Białostocka	1	1
Dąbrowa Białostocka	1	3
Dąbrowa Chełmińska	1	1
Dąbrowa Chełmińska Centrum	1	1
Dąbrowa Górnicza	1	2,4
Dąbrowa Górnicza	2	1
Dąbrowa Górnicza	2	2
Dąbrowa Górnicza Gołonóg	1	1
Dąbrowa Górnicza Gołonóg	2	2
Dąbrowa Górnicza Pogoria	1	1
Dąbrowa Górnicza Pogoria	2	2
Dąbrowa Górnicza Południowa	1	1
Dąbrowa Górnicza Południowa	1	2
Dąbrowa Górnicza Sikorka	1	1
Dąbrowa Górnicza Sikorka	1	2
Dąbrowa Górnicza Sikorka	2	4
Dąbrowa Górnicza Strzemieszyce	1	1
Dąbrowa Górnicza Strzemieszyce	1	2
Dąbrowa Górnicza Wschodnia	1	1
Dąbrowa Górnicza Wschodnia	1	2
Dąbrowa Górnicza Ząbkowice	1	3
Dąbrowa Górnicza Ząbkowice	2	1A
Dąbrowa Górnicza Ząbkowice	2	2
Dąbrowa Górnicza Ząbkowice	3	6
Dąbrowa Górnicza Ząbkowice	3	8A
Dąbrowa Niemodlińska	1	2
Dąbrowa Niemodlińska	2	1
Dąbrowa Oleśnicka	1	2
Dąbrowa Oleśnicka	2	1
Dąbrowa-Łazy	1	1
Dąbrowa-Łazy	2	2
Dąbrowice Skierniewickie	1	1
Dąbrowice Skierniewickie	2	2
Dąbrowy	1	1
Dąbrówka Jezioro Mucharskie	1	1
Dąbrówka Malborska	1	1
Dąbrówka Malborska	2	2
Dąbrówka Wielkopolska	1	1
Dąbrówka Zabłotnia	1	1
Dąbrówka Zabłotnia	2	2
Deszczno	1	1
Dęba Opoczyńska	2	1
Dęba Opoczyńska	2	3
Dęba Rozalin	1	1
Dębe Wielkie	1	1
Dębe Wielkie	2	2
Dębica	1	1
Dębica	1	3
Dębica	2	2
Dębica	2	4
Dębica Wschodnia	1	1
Dębica Wschodnia	2	2
Dęblin	1	5
Dęblin	2	1b
Dęblin	2	3a
Dęblin	3	4b,4c
Dęblin	3	2b
Dębska Kuźnia	1	1
Dębska Wola	1	1
Dębska Wola	1	2
Długi Kąt	1	1
Długie	1	1
Długołęka	1	1
Długołęka	2	2
Długopole-Zdrój	1	1
Dobczyn	1	1
Dobczyn	2	2
Dobiegniew	1	1
Dobiegniew	2	2
Dobieszyn	1	4
Dobieszyn	2	1
Dobieszyn	2	2
Dobino Wałeckie	1	1
Doboszowice	1	1
Doboszowice	2	2
Dobra koło Limanowej	1	1
Dobre Miasto	1	1
Dobre Miasto	1	2
Dobrocin	1	1
Dobroń	1	1
Dobroń	2	2
Dobroszyce	1	2
Dobroszyce	1	4
Dobroszyce	2	1
Dobroszyce	2	2
Dobrowoda	1	1
Dobrynka	1	1
Dobrynka	2	2
Dobryszyce koło Radomska	1	1
Dobryszyce koło Radomska	2	2
Dobrzechów	1	1
Dobrzechów	2	2
Dobrzejewice	1	1
Dobrzeń Wielki	1	2
Dobrzeń Wielki	2	1
Dobrzykowice Wrocławskie	1	1
Dobrzykowice Wrocławskie	2	1
Dobrzyniewo Duże	2	1
Dobrzyń	1	1
Dolice	1	2
Dolice	1	1
Dolice	2	2
Dolna Grupa	1	1
Dolna Odra	1	1
Dolna Odra	1	2
Dolnik	1	1
Domaniewice	1	2
Domaniewice	2	1
Domaniewice Centrum	1	1
Domanin	1	2
Domanin	2	1
Domasław	1	1
Domaszków	1	2
Domaszków	2	1
Domaszków	3	3
Domaszowice	1	2
Domaszowice	2	1
Dominów	1	1
Dominów	2	2
Domisław	1	1
Domisław	2	2
Dopiewo	1	1
Dopiewo	2	2
Dorohusk	1	1b
Dorohusk	1	2d
Dorohusk	2	101S
Dragacz	1	1
Drawiny	1	1
Drawiny	2	2
Drawski Młyn	1	2
Drawski Młyn	2	3
Drawski Młyn	2	1
Drawsko Pomorskie	1	1
Drawsko Pomorskie	2	1
Drawsko Pomorskie	2	2
Drogomyśl	1	1
Drogomyśl	2	2
Drużyna Poznańska	1	1
Drużyna Poznańska	2	2
Drygały	1	1
Drygały	1	3
Drygulec	1	1
Drygulec	2	2
Drzeńsko	1	1
Drzeńsko	2	2
Drzewce	1	1
Drzewce	2	2
Drzewica	1	1
Drzewica	1	2
Drzewica	2	3
Drzewica	2	1
Drzonowo	2	1
Drzycim	1	1
Drzymałowo	1	1
Dubidze	1	1
Dubidze-Kolonia	1	1
Dubielno	1	1
Dulowa	1	1
Dulowa	2	2
Dunowo	1	1
Duszniki-Zdrój	1	1
Duszniki-Zdrój	2	3
Dwikozy	1	2
Dwikozy	1	1
Dwory	1	1
Dwory	1	2
Dygowo	1	2
Dygowo	2	1
Dytmarów	1	1
Dytmarów	2	2
Działdowo	1	2
Działdowo	2	2
Działdowo	2	1
Działdowo	3	6
Działdowo	3	4
Działoszyn	1	2
Działoszyn	2	1
Dziembówko	1	2
Dziembówko	1	1
Dziemiany Kaszubskie	1	1
Dziergowice	1	1
Dziergowice	2	2
Dzierżanów Wielkopolski	1	1
Dzierżanów Wielkopolski	2	2
Dzierżążno	1	1
Dzierżążno	1	3
Dzierżoniów Śląski	1	1
Dzierżoniów Śląski	2	6
Dzierżoniów Śląski	2	2
Dzietrzniki	1	1
Dziewule	1	1
Dziewule	2	2
Dzięczyn	1	2
Dzięczyn	2	1
Dziwno	1	1
Elbląg	1	6
Elbląg	2	4
Elbląg	2	2
Elbląg	3	1
Elbląg	3	3
Ełk	1	4
Ełk	1	6
Ełk	2	
Ełk	2	5
Ełk	3	B1
Ełk	3	5
Ełk Szyba Wschód	1	
Ełk Szyba Zachód	1	1
Fałkowo	1	1
Fałkowo	2	2
Fasty	1	1
Firlus	1	1
Fiszewo	1	1
Fiszewo	2	2
Fosowskie	3	1
Fosowskie	4	2
Fosowskie	4	4
Fronołów	1	1
Fronołów	2	2
Frysztak	1	1
Frysztak	1	3
Gajówka	1	2
Gajówka	2	1
Gałęzinowo	1	1
Gałkówek	1	2
Gałkówek	2	1
Gamerki Wielkie	1	1
Gamerki Wielkie	2	2
Gamerki Wielkie	2	1
Garbatka-Letnisko	1	5
Garbatka-Letnisko	2	1
Garbatka-Letnisko	2	2
Garbce	1	1
Garbce	2	2
Garczegorze	1	1
Garczyn	1	1
Gardeja	1	1
Gardeja	1	2
Garki	1	1
Garwolin	1	1
Garwolin	2	2
Gawrony	1	1
Gąbin	1	1
Gądki	1	2
Gądki	1	1
Gądków Wielki	1	1
Gądków Wielki	2	2
Gągławki	1	2
Gągławki	1	1
Gąsawy Plebańskie	1	1
Gąsawy Plebańskie	2	2
Gąsocin	1	3
Gąsocin	1	1
Gąsocin	2	2
Gdakowo	1	1
Gdakowo	2	2
Gdańsk Główny	1	4
Gdańsk Główny	1	2
Gdańsk Główny	2	1
Gdańsk Główny	2	3
Gdańsk Kokoszki	1	1
Gdańsk Kokoszki	2	2
Gdańsk Lipce	1	1
Gdańsk Lipce	2	2
Gdańsk Oliwa	1	2
Gdańsk Oliwa	1	1
Gdańsk Orunia	1	1
Gdańsk Orunia	2	2
Gdańsk Osowa	1	1
Gdańsk Osowa	1	3
Gdańsk Osowa	2	4
Gdańsk Osowa	2	2
Gdańsk Stadion Expo	1	31
